"","cve_ent","cve_mun","productores","superficie_total","produccion_total","produccion_prom"
"392","25","001",1417,22495.521,138104.0181,97.4622569513056
"393","25","010",966,13758.9647,84099.2851,87.0593013457557
"394","25","011",145,1378.0551,7870.0282,54.2760565517241
"395","25","015",91,1037.2586,5889.9658,64.7248989010989
"396","25","017",727,7007.5758,38147.0416,52.4718591471802
"397","26","007",6,100.25,451.6638,75.2773
"398","26","011",6,32.2592,148.9352,24.8225333333333
"399","26","022",9,26.2743,173.2693,19.2521444444444
"400","26","023",11,87.5333,181.2513,16.4773909090909
"401","26","036",3,4.07,26.8496,8.94986666666667
"402","26","049",8,51.4906,227.4283,28.4285375
"403","26","050",4,40.3824,179.5375,44.884375
"404","26","051",7,62.9511,333.5987,47.6569571428571
"405","26","066",16,66.5708,264.905,16.5565625
"406","28","005",39,728.39,622.95,15.9730769230769
"407","28","023",13,631.76,434.5,33.4230769230769
"408","28","026",21,104.44,59.4247,2.82974761904762
"409","29","003",129,602.731,1048.7052,8.12949767441861
"410","29","004",93,261.7972,574.1959,6.17414946236559
"411","29","005",51,146.1541,305.5832,5.99182745098039
"412","29","006",105,616.4483,1420.4348,13.5279504761905
"413","29","007",104,138.3246,243.2362,2.33880961538462
"414","29","008",36,97.31,249.6059,6.93349722222222
"415","29","011",194,938.1465,1776.8224,9.15887835051546
"416","29","012",423,1662.8531,3130.8127,7.40144846335697
"417","29","013",121,572.284,1717.9983,14.1983330578512
"418","29","014",620,2389.4131,4829.3169,7.78922080645161
"419","29","015",149,581.666,1097.4791,7.36563154362416
"420","29","020",193,825.8688,1737.8701,9.00450829015544
"421","29","021",238,1049.6668,2918.6764,12.2633462184874
"422","29","024",24,22.907,20.6319,0.8596625
"423","29","030",151,671.8062,1058.7233,7.01141258278146
"424","29","031",198,505.3489,707.4766,3.57311414141414
"425","29","034",315,1599.9057,2723.4425,8.64584920634921
"426","29","035",19,54.0182,73.6,3.87368421052632
"427","29","037",11,14.6,32.2866,2.93514545454545
"428","29","038",12,39.59,78.5,6.54166666666667
"429","29","039",83,156.8639,230.8278,2.7810578313253
"430","29","040",205,618.1957,1580.573,7.71011219512195
"431","29","043",11,28.74,29.0365,2.63968181818182
"432","29","045",28,174.2125,332.2,11.8642857142857
"433","29","046",20,43.5,73.75,3.6875
"434","29","047",9,11.0269,16.8472,1.87191111111111
"435","29","049",3,4.1,5.5,1.83333333333333
"436","29","050",10,8.49,24.5115,2.45115
"437","29","052",16,49.1215,69.2749,4.32968125
"438","29","055",110,536.4147,752.0465,6.83678636363636
"439","29","057",9,2.8918,7.1875,0.798611111111111
"440","30","010",10,17.93,30,3
"441","30","128",7,32.89,68,9.71428571428571
"442","30","143",14,4.6279,5.1524,0.368028571428571
"443","30","159",8,0.9838,0.209,0.026125
"444","32","006",12,131.02,56,4.66666666666667
"445","32","009",58,542.3674,978.3449,16.8680155172414
"446","32","010",13,152.89,155.8824,11.9909538461538
"447","32","012",6,51.0664,41.3756,6.89593333333333
"448","32","014",34,717.3171,917.3742,26.9815941176471
"449","32","017",36,163.5753,151.847,4.21797222222222
"450","32","021",6,16.79,34.3819,5.73031666666667
"451","32","022",14,253.72,272.944,19.496
"452","32","026",6,11.9,3,0.5
"453","32","027",7,10.5,3.45,0.492857142857143
"454","32","029",64,1301.7078,1481.0656,23.14165
"455","32","032",57,523.0645,443.7189,7.78454210526316
"456","32","037",190,1409.8807,723.2829,3.80675210526316
"457","32","038",123,1110.113,801.8996,6.51950894308943
"458","32","039",43,766.4829,548.3872,12.7531906976744
"459","32","040",26,66.7879,238.7407,9.18233461538462
"460","32","042",436,6452.6619,10365.9329,23.7750754587156
"461","32","048",6,56.9,232.55,38.7583333333333
"462","32","050",30,197.302,25.2896,0.842986666666667
"463","32","051",52,1186.8322,1281.4777,24.6438019230769
"464","32","056",22,125.8217,114.9676,5.2258
